FSN,Seller SKU ID,Listing Status*,MRP*,Your selling price*,Minimum Order Quantity (MinOQ),Fullfilment by*,Procurement type*,Procurement SLA*,Stock*,Shipping provider*,Length,Breadth,Height,Weight,HSN*,Tax Code*,Country Of Origin*,Manufacturer Details*,Packer Details*
BELHBMK7BFUMFQ7T,NOV25_CD_P1_JAG_GOLD_BLACK_38,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,42033000,GST_18,INDIA,CASADITTA,CASADITTA
BELHBMK7QXJG963X,NOV25_CD_P1_LADIES_PLAIN_BROWN_32,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,42033000,GST_18,INDIA,CASADITTA,CASADITTA
BELHBMK7ZGCAWQVF,NOV25_CD_P1_LADIES_PLAIN_BLACK_36,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,42033000,GST_18,INDIA,CASADITTA,CASADITTA
BELHBMK78DVXNMVT,NOV25_CD_P1_LADIES_PLAIN_WHITE_34,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,42033000,GST_18,INDIA,CASADITTA,CASADITTA
BELHBMK7DUSWJDER,NOV25_CD_P1_JAG_SILVER_BLACK_30,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,42033000,GST_18,INDIA,CASADITTA,CASADITTA
BELHBMK7JDKMH7AF,NOV25_CD_P1_JAG_BIG_SILVER_36,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,42033000,GST_18,INDIA,CASADITTA,CASADITTA
BELHBMK7X4MXZGJT,NOV25_CD_P1_TOMMY_SILVER_40,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,42033000,GST_18,INDIA,CASADITTA,CASADITTA
BELHBMK74FTKNSMJ,NOV25_CD_P1_JAG_SILVER_TAN_32,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,42033000,GST_18,INDIA,CASADITTA,CASADITTA
BELHBMK7BZEKXPAG,NOV25_CD_P1_JAG_SILVER_BLACK_28,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,42033000,GST_18,INDIA,CASADITTA,CASADITTA
BELHBMK7AADWNRQU,NOV25_CD_P1_JAG_BIG_GOLD_42,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,42033000,GST_18,INDIA,CASADITTA,CASADITTA
BELHBMK7HPSHFBZA,NOV25_CD_P1_TURTLE_38,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,42033000,GST_18,INDIA,CASADITTA,CASADITTA
BELHBMK7D7N4ZG3R,NOV25_CD_P1_PUBL_42,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,42033000,GST_18,INDIA,CASADITTA,CASADITTA
BELHBMK7WAQHWGYH,NOV25_CD_P1_JAG_BIG_SILVER_30,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,42033000,GST_18,INDIA,CASADITTA,CASADITTA
BELHBMK7HNBEKKZP,NOV25_CD_P1_TOMMY_SILVER_32,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,42033000,GST_18,INDIA,CASADITTA,CASADITTA
BELHBMK7XBWXGZ8S,NOV25_CD_P1_TOMMY_GOLD_38,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,42033000,GST_18,INDIA,CASADITTA,CASADITTA
