FSN,Seller SKU ID,Listing Status*,MRP*,Your selling price*,Minimum Order Quantity (MinOQ),Fullfilment by*,Procurement type*,Procurement SLA*,Stock*,Shipping provider*,Length,Breadth,Height,Weight,HSN*,Tax Code*,Country Of Origin*,Manufacturer Details*,Packer Details*
XHAH9H6ZTEH75EEE,29_APRL_AI_P1_ROSE_PEARL_JUDA_RED,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZVEFV7AUZ,29_APRL_AI_P1_ROSE_PEARL_JUDA_PINK,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZNZ8HZJEZ,29_APRL_AI_P1_GOLD_METAL_ROSE_JUDA_RED,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
HACH9KB4GZRDUXAH,29_APRL_AI_P1_3_LINE_ROSE_GAJRA_YELLOW,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZWBCP4NVU,29_APRL_AI_P1_ROSE_PEARL_JUDA_GULABI,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
HACH9NDVEM7SY3YU,29_APRL_AI_P2_SIL_METAL_ROSE_JUDA_PINK+PLAIN_SILVER,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZDZNKUSFC,29_APRL_AI_P1_6_LAYER_GAJRA_YELLOW,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
HACH9KB4SUYHTHZK,29_APRL_AI_P1_ROSE_PEARL_JUDA_GULABI,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
HACH9KB4MDXMTA8V,29_APRL_AI_P1_SIL_METAL_ROSE_JUDA_PINK,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
HACH9NDVTCXUYX4P,29_APRL_AI_P2_3_LINE_PEARL_GAJRA_BABYPINK+PLAIN_SILVER,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZDGGHVT59,29_APRL_AI_P1_ROSE_PEARL_JUDA_WHITE,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6Z76YRZJGA,29_APRL_AI_P1_3_LINE_ROSE_GAJRA_PINK,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZZMTFEJ7K,29_APRL_AI_P1_3_CHAIN_GAJRA_DARKPINK,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZB3MXAMVB,29_APRL_AI_P1_CRYSTAL_GOLD_PRIME_JUDA,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6Z3MN5W9XH,29_APRL_AI_P1_SIL_METAL_ROSE_JUDA_RED,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZNMHVSAZZ,29_APRL_AI_P1_3_LINE_PEARL_GAJRA_DARKPINK,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZKEZRGCAC,29_APRL_AI_P1_GOLD_METAL_ROSE_JUDA_PINK,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZVHFHNZH6,29_APRL_AI_P1_ROSE_PEARL_JUDA_PURPLE,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZV7MTHQNP,29_APRL_AI_P1_3_LINE_ROSE_GAJRA_YELLOW,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZBKBFV4QW,29_APRL_AI_P1_6_LAYER_GAJRA_RED,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZTZ8S7HHZ,29_APRL_AI_P1_5_CHAIN_GAJRA_BABYPINK,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZBEJSZGZ6,29_APRL_AI_P1_3_LINE_PEARL_GAGRA_LIGHT_YELLOW,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZYCVJRQDD,29_APRL_AI_P1_ROSE_PEARL_JUDA_YELLOW,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZG4ZKGVBV,29_APRL_AI_P1_3_CHAIN_GAJRA_YELLOW,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZYNGBCGYJ,29_APRL_AI_P1_CRYSTAL_PINK_PRIME_JUDA,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZZUA9TF7B,29_APRL_AI_P1_SIL_METAL_ROSE_JUDA_PINK,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZH5QBR43B,29_APRL_AI_P1_3_CHAIN_GAJRA_RED,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZTVVHDPED,29_APRL_AI_P1_5_CHAIN_GAJRA_RED,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZXB9XZ5TH,29_APRL_AI_P1_GOLD_METAL_ROSE_JUDA_YELLOW,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZTMYXUDFT,29_APRL_AI_P1_SIL_METAL_ROSE_JUDA_YELLOW,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZKVHZA9RE,29_APRL_AI_P1_3_LINE_PEARL_GAJRA_YELLOW,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZZE3YJGBY,29_APRL_AI_P1_3_CHAIN_GAJRA_BABYPINK,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZXFETWJRA,29_APRL_AI_P1_CRYSTAL_WHITE_PRIME_JUDA,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZMGGVYGZH,29_APRL_AI_P1_3_LINE_PEARL_GAJRA_BABY_PINK,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
XHAH9H6ZFQDYR2VH,29_APRL_AI_P1_6_LAYER_GAJRA_DARKPINK,ACTIVE,599,299,1,SELLER,EXPRESS,1,100,FLIPKART,2,2,2,0.1,96159000,GST_5,INDIA,Niddleman Fashion India LLP,SHRIIJAA FoodWorks
